name,latitude,longitude
"4 Cheile Zanoagei ",44.458492884321,26.121422246091
"4 Chirigiu",44.414500986252,26.078861197097
"4 Colentina",44.459286465278,26.130730316136
"4 Colentina Socului ",44.451935552735,26.150178060912
"4 Crivina",44.454426324917,26.047247181757
"4 Drumul Sarii",44.418494402451,26.061323116694
"4 Dudești",44.421506874975,26.130161607456
"4 Iancului ",44.441143,26.134771
"4 Labirint ",44.430035348188,26.121550365687
"4 Lanariei",44.416253484323,26.108552873077
"4 Mosilor ",44.447126919499,26.121893601914
"4 Mărăşeşti ",44.423072403401,26.112586271896
"4 Nitu Vasile",44.390884645694,26.116238713641
"4 Oltenita Placare",44.395891612178,26.108230672484
"4 Pantelimon ",44.44388599676,26.153896119747
"4 Petre Ispirescu",44.417430763133,26.064395581908
"4 Rahova",44.407141162962,26.067725393401
"4 Roșia Montană",44.43741,26.02566
"4 Socului ",44.436122139726,26.158679897014
"4 Stefan cel Mare ",44.4520234,26.1175694
"4 Sălaj",44.408497420113,26.07699868657
"4 Theodor Speranţia ",44.427643772709,26.134450464567
"4 Tineretului",44.409295047197,26.116260968821
"4 Turda",44.455079369792,26.064999367196
"4 Vifornita",44.387629050495,26.101022962633
"4 Virtuții",44.441178047714,26.031357548666
"4 Zona I",44.383616062266,26.117068176908
"4 Zona II",44.378035325242,26.112948168355
"4' Pantelimon ",44.444054,26.150148
"4/10",44.416464507807,26.048799604653
"4/6",44.414451599121,26.01756
"4/7",44.42169835223,26.027007401616
"4/7'",44.417213439941,26.03202
"4/8",44.419196639476,26.040015429137
"4C4/2",44.416242436617,26.158187259019
"4C5/1",44.41849837055,26.170011235647
"4Placare-T",44.411901076775,26.165768001352
"4X",44.426610607656,26.166479324092
"4XA",44.425684399599,26.164256898084
"5 Aviatiei",44.485812427579,26.095541252097
"5 Berceni Oltenița",44.384229441684,26.133167315468
"5 Brancoveanu",44.391537074242,26.109063779842
"5 C3/2",44.426315268956,26.172041812449
"5 C4/2",44.414426037014,26.162280048278
"5 C5/2",44.422311731477,26.17490546085
"5 Chirigiu",44.416499595498,26.082742952836
"5 Colentina",44.459811014592,26.131095096539
"5 Cornul Caprei ",44.423590318535,26.132061748021
"5 Crivina",44.454914193139,26.052173115492
"5 Călăraşi ",44.431374163217,26.129109287925
"5 Desișului",44.43489925829,26.023706494037
"5 Doamna Ghica ",44.456060349344,26.139997434485
"5 Iancului ",44.4425794,26.1481048
"5 Lacul Tei ",44.4628725,26.1204375
"5 Lira",44.422491348652,26.065089121033
"5 Margeanului",44.410215,26.06271
"5 Metalurgiei",44.378065295718,26.118363463921
"5 Mosilor ",44.449580024163,26.122853849226
"5 Mărăşeşti ",44.420436778383,26.113213832351
"5 Oltenita",44.395952170373,26.11902307807
"5 Pantelimon ",44.441428180074,26.154864073099
"5 Petre Ispirescu",44.418626206401,26.065070157523
"5 Socului ",44.439798,26.158728
"5 Virtuții",44.43934,26.03602
"5 Zona I",44.379951807385,26.120884643721
"5 Zona II",44.38387078867,26.113497720948
"5-1 Mai",44.460045,26.076042
"5/5",44.417144963714,26.018762433606
"5/8",44.421144249979,26.046556354265
"5Catelu",44.431598,26.147095
"5Placare-T",44.410525296612,26.164878355582
"5X",44.429545954854,26.169704528374
"6 ACM",44.464569,26.055611
"6 Aviatiei",44.485363,26.094529
"6 Berceni Oltenita",44.384965068941,26.137433754027
"6 Brancoveanu",44.394643867895,26.111738694051
"6 Bucurestii Noi",44.482855,26.042154
"6 C5/2",44.418225379862,26.175192049848
"6 Chirigiu",44.416788864916,26.079139902556
"6 Colentina",44.4605019,26.1334184
"6 Doamna Ghica ",44.459017658526,26.135532415513
"6 Farado",44.38686381063,26.090820702892
"6 Margeanului",44.408995,26.062098
"6 Mosilor ",44.441189280039,26.116536292115
"6 Mărășești",44.420779379125,26.111569424001
"6 Pantelimon ",44.4433155,26.1588575
"6 Petre Ispirescu",44.415086,26.063427
"6 Rahova",44.409858176973,26.071649205607
"6 Roșia Montană",44.438843977732,26.025660298302
"6 Sebastian",44.414421595696,26.07084059149
"6 Sălaj",44.408966,26.078203
"6 Vifornita",44.378418106443,26.105414245634
"6 Vitan",44.416724543903,26.131058120473
"6 Zona I",44.378799,26.122111
"6 Zona II",44.385173824756,26.110954182958
"6-1 Mai",44.463146908263,26.075447858526
