incident_id,estimated_restore,first_seen_ts,last_seen_ts
ee6a80607335,2023-09-04T16:00,2023-09-04T14:00:02,2023-09-04T15:00:01
6d18bc26e1ac,2023-09-04T16:00,2023-09-04T14:00:02,2023-09-04T15:00:01
63f86b410db8,2023-09-04T16:00,2023-09-04T14:00:02,2023-09-04T15:00:01
fb786dba1ce9,2023-09-04T20:00,2023-09-04T15:00:01,2023-09-04T15:00:01
a1a5a17d1c7b,2023-09-04T20:00,2023-09-04T15:00:01,2023-09-04T15:00:01
7af223543c6c,2023-09-04T20:00,2023-09-04T15:00:01,2023-09-04T15:00:01
47aeb9dff105,2023-09-06T23:30,2023-09-04T15:00:01,2023-09-06T08:00:01
174cf862a2da,2023-09-06T23:30,2023-09-04T15:00:01,2023-09-05T23:00:01
27eb5ce353fd,2023-09-06T23:30,2023-09-04T15:00:01,2023-09-05T14:00:01
62bb0dc60ee0,2023-09-04T20:30,2023-09-04T16:00:01,2023-09-04T19:00:01
d632a5a68b67,2023-09-04T20:30,2023-09-04T16:00:01,2023-09-04T21:00:01
d632a5a68b67,2023-09-05T12:00,2023-09-04T22:00:01,2023-09-05T12:00:01
84a205f940b5,2023-09-07T14:00,2023-09-04T16:00:01,2023-09-06T14:00:01
eb709ec3ac10,2023-09-07T14:00,2023-09-04T16:00:01,2023-09-06T14:00:01
a9ef93968680,2023-09-06T23:30,2023-09-04T16:00:01,2023-09-06T08:00:01
752ccba4d64f,2023-09-04T23:30,2023-09-04T17:00:01,2023-09-04T22:00:01
752ccba4d64f,2023-09-05T10:00,2023-09-05T00:00:01,2023-09-05T01:00:01
752ccba4d64f,2023-09-05T20:00,2023-09-05T07:00:01,2023-09-05T20:00:01
752ccba4d64f,2023-09-06T10:00,2023-09-05T21:00:01,2023-09-05T23:00:01
3d43788d3b9e,2023-09-04T23:30,2023-09-04T17:00:01,2023-09-04T22:00:01
ab714869614c,2023-09-04T20:30,2023-09-04T18:00:01,2023-09-04T21:00:01
